Price,Address,Squares,Rooms,Floor
900 €,"Opština Novi Beograd, Blok 70 (kineski tržni centar), Jurija Gagarina",100 m2,4.0,III/13
500 €,"Opština Voždovac, Autokomanda, Triše Kaclerovića",51 m2,2.0,III/4
1.200 €,"Opština Novi Beograd, Blok 67 (Belvil), Đorđa Stanojevića",80 m2,3.0,X/13
430 €,"Opština Vračar, Crveni krst, Vojislava Ilića",35 m2,1.5,VII/7
750 €,"Opština Savski venac, Dedinje, Sime Lozanića",61 m2,2.5,I
300 €,"Opština Zvezdara, Mirijevo, Jovanke Radaković",34 m2,1.5,PR/4
800 €,"Opština Novi Beograd, Bežanijska kosa 2, Nedeljka Gvozdenovica",90 m2,3.0,III/6
450 €,"Opština Čukarica, Žarkovo, Braće Škerović",70 m2,3.0,VPR/2
650 €,"Opština Zemun, Save Kovačevića, Bosanska",50 m2,1.5,I/1
200 €,"Opština Čukarica, Ostružnica, Buljubaše Ranka Uroševića",50 m2,3.0,I/3
1.100 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",51 m2,2.0,IV
500 €,"Opština Palilula, Profesorska kolonija, Smederevska",57 m2,2.0,II/3
800 €,"Opština Savski venac, Beograd na vodi, Jurija Gagarina",56 m2,2.0,III/10
500 €,"Opština Stari grad, Bajlonijeva pijaca, Bulevar despota Stefana",39 m2,1.0,VI/9
900 €,"Opština Palilula, Bogoslovija, Dragoslava Srejovica",54 m2,1.5,N/A
1.200 €,"Opština Palilula, Profesorska kolonija, Ljubomira Stojanovića",111 m2,4.5,I/1
500 €,"Opština Zemun, Gornji grad, Novogradska",50 m2,2.0,III/5
450 €,"Opština Stari grad, Kalemegdan, Solunska",35 m2,1.0,III/8
650 €,"Opština Stari grad, Kopitareva gradina, Džordža Vašingtona",45 m2,2.0,VPR/5
680 €,"Opština Novi Beograd, Stari Merkator",59 m2,2.0,VII/11
1.100 €,"Opština Savski venac, Beograd na vodi",60 m2,2.0,I/8
500 €,"Opština Čukarica, Banovo brdo, Požeška",63 m2,2.5,III/5
500 €,"Opština Novi Beograd, Ledine, Isaka Singera",45 m2,1.5,I/5
190 €,"Opština Novi Beograd, Blok 63, Gandijeva",82 m2,3.0,I/10
600 €,"Opština Zemun, Dobanovačka, Dobanovačka",40 m2,2.0,III/3
1.500 €,"Opština Voždovac, Vojvode Stepe, Vojvode Stepe",83 m2,3.0,VII/12
290 €,"Opština Zemun, Gornji grad, Pregrevica",20 m2,1.0,I/2
400 €,"Opština Vračar, Bulevar kralja Aleksandra, Požarevačka",25 m2,0.5,V/7
400 €,"Opština Palilula, Rospi ćuprija, Slanački put",38 m2,2.0,I/4
350 €,"Opština Palilula, Karaburma, Velje Miljkovića",40 m2,2.0,I/4
280 €,"Opština Zvezdara, Gradska bolnica",38 m2,2.0,PR/2
250 €,"Opština Voždovac, Dušanovac, Kneza Bogosava",31 m2,1.0,VPR/2
350 €,"Opština Voždovac, Dušanovac, Kneza Bogosava",41 m2,2.0,I/2
700 €,"Opština Stari grad, Dorćol, Strahinjića Bana",55 m2,2.0,N/A
3.950 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",110 m2,3.0,VIII/16
1.200 €,"Opština Novi Beograd, Blok 67 (Belvil), Bulevar Crvene Armije",80 m2,3.0,X/13
1.900 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",91 m2,3.0,XXI
750 €,"Opština Novi Beograd, YUBC, Bulevar Mihajla Pupina",65 m2,2.0,IV
2.400 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",93 m2,3.0,XV
1.600 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Gagarina",72 m2,3.0,VII/7
250 €,"Opština Novi Beograd, Stara Bežanija, Surčinska",40 m2,2.0,PR
1.300 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Gagarina",66 m2,3.0,VII/7
1.300 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",78 m2,3.0,VIII/17
1.900 €,"Opština Savski venac, Kneza Miloša, Kneza Miloša",88 m2,3.0,VIII/24
700 €,"Opština Novi Beograd, Blok 63, Vojvođanska",52 m2,2.0,II
750 €,"Opština Čukarica, Banovo brdo, Majdanska Čukarica",75 m2,3.0,II/6
1.100 €,"Opština Novi Beograd, Blok 65, Tadije Sondermajera",56 m2,2.0,III
2.500 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",119 m2,4.0,XI/24
1.600 €,"Opština Stari grad, Dorćol, Vojvode Dobrnjca",115 m2,3.0,I/3
700 €,"Opština Novi Beograd, Blok 30 (B92), Bulevar Mihajla Pupina",90 m2,3.0,VI/10
1.200 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",56 m2,2.0,I/8
650 €,"Opština Palilula, Krnjača, Danka Popovića",75 m2,3.0,I/3
1.100 €,"Opština Stari grad, Centar, Jelene Ćetković",70 m2,3.0,II/5
1.300 €,"Opština Voždovac, Lekino brdo, Kruševačka",99 m2,3.0,IV/4
900 €,"Opština Voždovac, Lekino brdo, Rada Neimara",70 m2,3.0,VI/7
1.200 €,"Opština Stari grad, Kopitareva gradina",66 m2,3.0,II/5
1.500 €,"Opština Savski venac, Dedinje, Heroja Milana Tepića",104 m2,2.0,VPR/3
400 €,"Opština Vračar, Gradić Pejton, Vukice Mitrovic",26 m2,0.5,PSUT/2
300 €,"Opština Savski venac, Palata pravde, Dr Aleksandra Kostića",26 m2,0.5,III/6
750 €,"Opština Stari grad, Gundulićev venac, Vojvode Dobrnjca",60 m2,2.5,V/9
750 €,"Opština Palilula, Botanička bašta, Šajkaška",60 m2,2.5,V/9
500 €,"Opština Voždovac, Vojvode Stepe, Vitanovacka",55 m2,2.0,IV/12
1.400 €,"Opština Voždovac, Bulevar oslobođenja, Bulevar oslobođenja",140 m2,5.0,VPR/3
1.100 €,"Opština Savski venac, Centar, Vojvode Milenka",51 m2,2.0,V/8
550 €,"Opština Voždovac, Kumodraška, Nestora Žučnog",39 m2,1.0,VPR/4
500 €,"Opština Voždovac, Trošarina, Vojvode Stepe",27 m2,1.0,I/8
850 €,"Opština Vračar, Pravni fakultet, Prote Mateje",60 m2,2.5,I/1
950 €,"Opština Novi Beograd, Blok 24 (Super Vero), Bulevar Milutina Milankovića",84 m2,3.0,V
